ticker,time,open,high,low,close,adjusted_close,volume,source
TICK001,2024-01-01,427.77347650332047,451.118932296816,360.36084817214703,430.4938578585352,430.4938578585352,5847071,big_sample_data
TICK001,2024-01-02,778.7001595546192,852.7052012710865,727.5672364138886,781.5937497312151,781.5937497312151,7850879,big_sample_data
TICK001,2024-01-03,456.47312777585364,552.3906244835803,442.67595224683765,496.93436545578646,496.93436545578646,1530306,big_sample_data
TICK001,2024-01-04,698.8887398189919,769.5178277415125,670.5843410222639,767.2653918427758,767.2653918427758,1446712,big_sample_data
TICK001,2024-01-05,939.5689255819726,967.9646220183647,856.481515097903,894.7752027683963,894.7752027683963,6210151,big_sample_data
TICK001,2024-01-06,1177.9202529870547,1252.605186103326,1114.4689124479926,1242.3358542589913,1242.3358542589913,3006467,big_sample_data
TICK001,2024-01-07,1640.1670278064657,1671.7642674447507,1553.2893741853286,1635.6072029591917,1635.6072029591917,6526725,big_sample_data
TICK001,2024-01-08,900.7338183331783,906.3284386483033,896.3240139280334,899.0782988318488,899.0782988318488,4652893,big_sample_data
TICK001,2024-01-09,604.8226570318327,658.880415315682,524.7427059094075,525.9635157967679,525.9635157967679,9982908,big_sample_data
TICK001,2024-01-10,1121.2440223419744,1167.0876726770036,1112.252040182913,1113.9896478110584,1113.9896478110584,2131611,big_sample_data
TICK001,2024-01-11,1098.6500729849122,1181.6994275564782,1054.5689687082258,1152.50727297536,1152.50727297536,4326926,big_sample_data
TICK001,2024-01-12,717.4997946430433,767.7723734008323,666.7964860927092,672.0236517315923,672.0236517315923,4371384,big_sample_data
TICK001,2024-01-13,470.42033183088665,519.6769815872242,384.43262793448054,462.6323132858228,462.6323132858228,6121702,big_sample_data
TICK001,2024-01-14,281.20213193726204,349.1503024985214,192.03978858011226,230.27985451860698,230.27985451860698,914516,big_sample_data
TICK001,2024-01-15,1301.8164857970642,1394.8902506516813,1249.6772610019918,1254.8471977071608,1254.8471977071608,4620999,big_sample_data
TICK001,2024-01-16,775.943487170075,778.5139266618713,761.2691962350597,766.8749915987345,766.8749915987345,7426168,big_sample_data
TICK001,2024-01-17,325.84478802353556,369.2219714642424,296.19784232614626,354.8567297216823,354.8567297216823,3750044,big_sample_data
TICK001,2024-01-18,949.1813268460974,972.2179208689254,851.0024674136395,869.9623008558698,869.9623008558698,2589045,big_sample_data
TICK001,2024-01-19,1745.5234834629841,1823.7805021303468,1679.8666838202207,1744.624084374692,1744.624084374692,8599044,big_sample_data
TICK001,2024-01-20,1850.999079657886,1902.0046801371661,1768.0929568743913,1806.3803912976746,1806.3803912976746,3728621,big_sample_data
TICK001,2024-01-21,1258.4471416861581,1312.390713382142,1256.847687708756,1303.9648889960324,1303.9648889960324,2371107,big_sample_data
